Clock Time,Latitude,Longitude,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Depth (m),Heading (degrees),Velocity (km/h)
18:44:17,43.6563911,-79.3829728,-6,0,-4,-1667.1305,-1019.8915999999999,-9600.71035,0.0,266,0.1
18:44:18,43.6563911,-79.3829728,-4,0,-4,-1637.71055,-970.85835,-9630.130299999999,0.0,266,0.1
18:44:18,43.6563911,-79.3829728,-5,0,-3,-1647.5172,-990.47165,-9600.71035,0.0,266,0.1
18:44:19,43.6563911,-79.3829728,-6,0,-5,-1637.71055,-970.85835,-9610.517,0.0,267,0.0
18:44:19,43.6563911,-79.3829728,-7,0,-1,-1696.55045,-990.47165,-9590.903699999999,0.0,267,0.0
18:44:20,43.6563911,-79.3829728,-6,0,6,-1598.4839499999998,-970.85835,-9600.71035,0.0,268,0.1
18:44:20,43.6563911,-79.3829728,3,-4,121,-1314.0910999999999,-1078.7314999999999,-9865.489899999999,0.0,271,0.8
18:44:21,43.66004024303031,-79.38614620495312,-49,-33,-226,-1627.9038999999998,-1147.37805,-9865.489899999999,0.0,267,1.0
18:44:21,43.6673175090755,-79.39101174943343,0,-11,-46,-1490.6108,-715.88545,-9934.13645,0.0,265,1.3
18:44:22,43.67804737361936,-79.39964054666272,7,18,-1,-1363.1243499999998,-1176.798,-9277.0909,0.0,266,1.2
18:44:22,43.69165143786873,-79.4110682467232,-7,23,3,-1304.2844499999999,-1049.31155,-8943.664799999999,0.0,266,1.0
18:44:23,43.69165143786873,-79.4110682467232,-48,-1,8,-1216.0246,-784.5319999999999,-9149.604449999999,0.0,266,0.6
18:44:23,43.69165143786873,-79.4110682467232,-5,0,-58,-1618.0972499999998,-843.3719,-10159.6894,0.0,266,0.1
18:44:24,43.69165143786873,-79.4110682467232,44,-4,-39,-1627.9038999999998,-470.7192,-10316.5958,0.0,265,0.2
18:44:24,43.69165143786873,-79.4110682467232,-31,7,-18,-1421.96425,-764.9187,-8835.79165,0.0,264,0.5
18:44:25,43.69165143786873,-79.4110682467232,38,-23,-41,-2049.58985,-990.47165,-10826.541599999999,0.0,264,0.7
18:44:25,43.70870096981182,-79.42370973266728,-62,18,-29,-1255.2512,-872.79185,-8727.9185,0.0,263,1.1
18:44:26,43.72834224995956,-79.43943821039794,-36,26,99,-1333.7043999999999,-696.27215,-9100.5712,0.0,266,1.0
18:44:26,43.749853230158116,-79.46058182955666,18,3,178,-1304.2844499999999,-961.0517,-9188.831049999999,0.0,271,1.0
18:44:27,43.77270753538712,-79.4888138318377,23,18,165,-1539.6440499999999,-1157.1847,-10444.08225,0.0,277,1.2
18:44:27,43.79516291775615,-79.52501153986667,24,17,279,-1421.96425,-853.17855,-9688.9702,0.0,285,1.2
18:44:28,43.81398988582345,-79.56995918720983,115,22,391,-1402.35095,-441.29925,-9306.510849999999,0.0,297,1.7
18:44:28,43.82537270154194,-79.62536977009849,117,11,543,-1775.0036499999999,-470.7192,-9708.583499999999,0.0,313,2.3
18:44:29,43.82609793504356,-79.68855792776289,47,45,537,-1922.1034,-323.61945,-9384.964049999999,0.0,330,2.5
18:44:29,43.81384076873896,-79.75425065412021,84,49,543,-1412.1576,-529.5591,-9502.643849999999,0.0,346,2.7
18:44:30,43.78899413216093,-79.81934406457903,39,36,333,-1323.8977499999999,-892.4051499999999,-9943.943099999999,0.0,359,2.6
18:44:30,43.76479835581475,-79.89027664197697,-7,15,-103,-1912.29675,-755.11205,-8816.17835,0.0,357,1.8
18:44:31,43.74062002240015,-79.97078506348512,-56,-8,-82,-1735.77705,-1088.5381499999999,-10198.916,0.0,354,1.0
18:44:31,43.74062002240015,-79.97078506348512,-29,19,-47,-1402.35095,-313.8128,-10032.202949999999,0.0,352,0.5
18:44:32,43.74062002240015,-79.97078506348512,34,6,2,-1833.8435499999998,-617.81895,-9326.12415,0.0,352,0.5
18:44:32,43.74062002240015,-79.97078506348512,-60,19,6,-1010.0849499999999,-608.0123,-9188.831049999999,0.0,353,0.8
18:44:33,43.71456568653741,-80.05481811624676,31,-2,23,-1520.03075,-1206.21795,-10051.81625,0.0,354,1.1
18:44:33,43.68744051520588,-80.14434008103882,-1,39,18,-1676.93715,-637.43225,-8865.211599999999,0.0,354,1.0
18:44:34,43.6560639813044,-80.24202642937641,13,0,58,-1637.71055,-1029.69825,-10355.8224,0.0,355,1.2
18:44:34,43.624168756173546,-80.33637649464886,-27,0,6,-1314.0910999999999,-794.3386499999999,-9757.61675,0.0,356,1.1
18:44:35,43.5868256028142,-80.43763921631428,-11,-7,31,-1461.19085,-1510.2241,-10012.58965,0.0,357,1.0
18:44:35,43.5868256028142,-80.43763921631428,-23,-6,87,-1843.6501999999998,-1078.7314999999999,-10404.85565,0.0,358,0.8
18:44:36,43.5868256028142,-80.43763921631428,-53,8,46,-1421.96425,-1147.37805,-10277.3692,0.0,0,0.6
18:44:36,43.5868256028142,-80.43763921631428,17,-9,35,-1598.4839499999998,-1029.69825,-9826.263299999999,0.0,1,0.3
18:44:37,43.5868256028142,-80.43763921631428,-36,-15,-31,-1186.60465,-1245.44455,-9747.810099999999,0.0,1,0.2
18:44:37,43.5868256028142,-80.43763921631428,7,23,-31,-1500.41745,-1039.5049,-9179.0244,0.0,0,0.3
18:44:38,43.5868256028142,-80.43763921631428,32,-24,-13,-1676.93715,-470.7192,-9943.943099999999,0.0,0,0.5
18:44:38,43.5868256028142,-80.43763921631428,-3,41,-23,-1490.6108,-1019.8915999999999,-10100.8495,0.0,0,0.6
18:44:39,43.54356108344284,-80.54260987188545,-22,-14,14,-1755.39035,-1520.03075,-9806.65,0.0,359,1.0
18:44:39,43.49885879305639,-80.65234781448423,-37,10,-30,-1500.41745,-637.43225,-9110.377849999999,0.0,359,1.2
18:44:40,43.4551547309799,-80.76794221674105,19,4,-59,-1176.798,-853.17855,-10032.202949999999,0.0,357,1.1
18:44:40,43.4551547309799,-80.76794221674105,-47,-25,-42,-1461.19085,-1206.21795,-9943.943099999999,0.0,356,0.7
18:44:41,43.4551547309799,-80.76794221674105,7,1,-31,-1980.9433,-627.6256,-9375.1574,0.0,354,0.7
18:44:41,43.4551547309799,-80.76794221674105,10,5,2,-1863.2634999999998,-686.4654999999999,-9708.583499999999,0.0,354,0.6
18:44:42,43.4551547309799,-80.76794221674105,57,72,389,-1549.4506999999999,-313.8128,-9463.417249999999,0.0,1,0.5
18:44:42,43.380859170257786,-80.85461507682939,134,43,677,-1353.3176999999998,-107.87315,-9532.0638,0.0,20,1.6
18:44:43,43.28747909663654,-80.9056018602006,82,32,698,-1431.7709,-470.7192,-9924.3298,0.0,39,2.4
18:44:43,43.18273118034901,-80.91373873749846,65,48,623,-1941.7167,-539.3657499999999,-9630.130299999999,0.0,58,2.7
18:44:44,43.07288696871673,-80.91707830195999,-67,-13,-282,-1520.03075,-1775.0036499999999,-9159.4111,0.0,59,1.6
18:44:44,43.07288696871673,-80.91707830195999,-90,-52,-552,-1402.35095,-1431.7709,-9728.1968,0.0,43,0.8
18:44:45,42.98074077932934,-81.0092934703102,-106,-66,-683,-1637.71055,-1039.5049,-8551.398799999999,0.0,24,2.1
18:44:45,42.91033196765346,-81.14107087872962,-104,-35,-530,-1833.8435499999998,-1382.73765,-9581.09705,0.0,6,2.9
18:44:46,42.85229578150106,-81.28972595841964,-34,-11,-244,-1559.2573499999999,-813.9519499999999,-9286.89755,0.0,358,3.1
18:44:46,42.79656858757364,-81.44602188926362,-2,-29,-43,-1667.1305,-823.7586,-9463.417249999999,0.0,356,3.1
18:44:47,42.73450769689133,-81.60504662764535,-29,15,97,-1745.5837,-1088.5381499999999,-10130.26945,0.0,358,2.7
18:44:47,42.666561242688424,-81.76520865969381,-8,19,73,-1402.35095,-813.9519499999999,-9904.716499999999,0.0,0,2.4
18:44:48,42.59662554987212,-81.92926262094635,-13,-1,-3,-1343.5110499999998,-892.4051499999999,-9767.4234,0.0,0,1.6
18:44:48,42.52900068387703,-82.10066322462744,8,-47,-74,-1314.0910999999999,-872.79185,-8669.078599999999,0.0,358,1.1
18:44:49,42.52900068387703,-82.10066322462744,-13,-16,-75,-1775.0036499999999,-823.7586,-9659.55025,0.0,356,0.7
18:44:49,42.52900068387703,-82.10066322462744,-59,1,-54,-872.79185,-1235.6379,-10532.3421,0.0,353,0.6
18:44:50,42.52900068387703,-82.10066322462744,-12,43,-83,-1294.4778,-1137.5714,-10140.0761,0.0,351,0.4
18:44:50,42.52900068387703,-82.10066322462744,-49,-10,-69,-1392.5443,-1618.0972499999998,-10257.7559,0.0,348,0.4
18:44:51,42.52900068387703,-82.10066322462744,1,-17,-68,-1520.03075,-706.0788,-10375.4357,0.0,346,0.2
18:44:51,42.52900068387703,-82.10066322462744,35,33,-22,-1323.8977499999999,-853.17855,-9738.00345,0.0,344,0.2
18:44:52,42.52900068387703,-82.10066322462744,42,22,8,-1402.35095,-617.81895,-9071.151249999999,0.0,344,0.5
18:44:52,42.47812545426897,-82.28723484537217,11,2,230,-1255.2512,-882.5985,-10002.783,0.0,350,1.3
18:44:53,42.41600064583077,-82.47348191190196,-3,13,97,-1725.9704,-1049.31155,-9296.7042,0.0,354,1.9
18:44:53,42.34334066420519,-82.65704523775253,1,18,123,-1127.7647499999998,-470.7192,-9286.89755,0.0,358,2.1
18:44:54,42.26891787304161,-82.8460071845927,32,-30,-156,-1176.798,-480.52585,-9757.61675,0.0,358,1.6
18:44:54,42.204762381917945,-83.04279196085112,4,-3,-118,-2000.5566,-755.11205,-9963.5564,0.0,354,1.0
18:44:55,42.204762381917945,-83.04279196085112,-23,-13,-132,-2196.6895999999997,-980.665,-9326.12415,0.0,351,0.6
18:44:55,42.204762381917945,-83.04279196085112,-3,-19,-53,-1980.9433,-745.3054,-9061.3446,0.0,349,0.9
18:44:56,42.15231970831493,-83.25465515726525,38,-26,64,-1853.4568499999998,-617.81895,-9600.71035,0.0,349,1.3
18:44:56,42.06769089652789,-83.45217906684992,102,13,553,-1676.93715,-264.77955,-9718.39015,0.0,1,1.7
18:44:57,41.94761512679464,-83.62198017845694,53,48,484,-2235.9161999999997,-598.20565,-10287.17585,0.0,15,2.2
18:44:57,41.78569961241772,-83.72663485871205,65,60,955,-1490.6108,-372.6527,-9914.523149999999,0.0,36,3.1
18:44:58,41.6032949193415,-83.7239153019528,164,82,913,-1745.5837,147.09975,-9512.450499999999,0.0,63,3.7
18:44:58,41.44766353057718,-83.60192938902212,156,69,1075,-1441.57755,-323.61945,-9845.8766,0.0,93,4.1
18:44:59,41.32799214339128,-83.40159473216643,104,45,517,-1686.7438,-990.47165,-10159.6894,0.0,114,3.6
18:44:59,41.21249548786665,-83.19472941104809,-6,-18,6,-1951.52335,-882.5985,-9747.810099999999,0.0,116,2.6
